repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
9,6,7,19|16|11|15|7|11|19|18,0,30,71,TRUE,0.121374954167789,0.277320257222177,0.484648500555037,106.953019988553,255.378742400805
9,6,8,19|16|18|11|6|5|17|19,0,47,15,TRUE,0.145119913470618,0.481863828199329,0.309203763675647,106.954319472869,255.378742400805
9,6,9,19|9|8|15|14|19|7|16,0,19,33,TRUE,0.353944169553339,0.424900958614575,0.2828242043714,107.24940385754,255.378742400805
9,6,10,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.627095291102,255.378742400805
12,6,1,18|12|7|7|12|17|8|19,0,17,69,TRUE,0.24385071372879,0.254346005788352,0.193317785276645,104.066832367537,251.411180897554
12,6,2,19|12|17|11|7|15|15|20,0,31,47,TRUE,0.276795874577251,0.243255786638003,0.240535615399298,105.48454941484,251.411180897554
12,6,3,18|15|4|7|12|16|20|19,0,18,61,TRUE,0.278947948453124,0.352851225124626,0.382684377026859,105.874613724892,251.411180897554
12,6,4,20|16|17|12|14|6|20|20,0,19,31,TRUE,0.153147264415937,0.474595284575136,0.327565934249396,106.019267840998,251.411180897554
12,6,5,19|14|9|7|5|13|7|19,0,18,60,TRUE,0.423636654182825,0.254400347620679,0.309684487724711,106.320353793968,251.411180897554
12,6,6,20|12|15|7|17|6|7|19,0,19,10,TRUE,0.379127533806085,0.316767474013024,0.362513830556575,106.582635115159,251.411180897554
12,6,7,18|3|11|3|6|13|11|19,0,31,69,TRUE,0.433751255370537,0.388500836277101,0.353786477985722,106.744287608499,251.411180897554
12,6,8,18|8|8|3|6|15|14|19,0,40,33,TRUE,0.447316120535222,0.416261472418514,0.355401843977519,106.813542341265,251.411180897554
12,6,9,18|10|11|15|12|7|7|19,0,17,13,TRUE,0.383493237383535,0.363031374137456,0.320605405018922,107.03209818221,251.411180897554
12,6,10,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,107.063914943788,251.411180897554
3,6,1,20|5|9|15|18|12|16|19,0,17,66,TRUE,0.177697077265501,0.39183380500959,0.14504957244601,105.911920625978,262.662858450413
