repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
15,8,10,11|19,1,70,80,TRUE,0.420987124826449,0.469431954410134,0.321330028164407,112.431384047983,195.292099964619
19,8,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,102.839445618425,174.854540002346
19,8,2,15|17,2,66,61,TRUE,0.349727926258156,0.16193802634368,0.229363517328643,103.374685836196,174.854540002346
19,8,3,14|18,2,63,49,TRUE,0.189235081765859,0.246782266350872,0.377045020744982,104.629536900198,174.854540002346
19,8,4,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,105.382960471999,174.854540002346
19,8,5,19|15,1,66,15,TRUE,0.460979941634519,0.149109032399355,0.357842570541331,106.307305271587,174.854540002346
19,8,6,19|18,0,49,7,TRUE,0.384783448672544,0.287332330551412,0.190915655771173,107.314398403024,174.854540002346
19,8,7,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,108.503244568349,174.854540002346
19,8,8,18|3,1,9,57,TRUE,0.487832442470866,0.232385965711752,0.265466800795105,109.289164505723,174.854540002346
19,8,9,18|6,1,59,36,TRUE,0.420170072058892,0.106434682730345,0.262330237598435,109.518460128666,174.854540002346
19,8,10,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,109.681833669445,174.854540002346
11,8,1,13|18,1,45,5,TRUE,0.226306810868519,0.274342537808832,0.176327000965944,102.467104776177,145.237377051512
11,8,2,16|20,1,44,4,TRUE,0.158243565301713,0.268665564523202,0.171852247669945,102.715478731766,145.237377051512
11,8,3,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.051332152207,145.237377051512
11,8,4,17|18,1,46,5,TRUE,0.182684751822162,0.277051218631825,0.221930807064264,103.476062768299,145.237377051512
11,8,5,9|17,1,57,5,TRUE,0.113260765845735,0.158998701200483,0.245145068536608,103.630586624458,145.237377051512
11,8,6,13|20,1,58,4,TRUE,0.159308750591884,0.289424804267405,0.179939392848942,103.691550673645,145.237377051512
11,8,7,16|20,2,63,34,TRUE,0.183896749094237,0.238194382984401,0.357053890449676,104.544075527431,145.237377051512
11,8,8,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,106.019607996818,145.237377051512
11,8,9,17|6,1,51,15,TRUE,0.405972486288348,0.168553420057566,0.382128098574687,108.01935468681,145.237377051512
11,8,10,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,108.051073697839,145.237377051512
