repetition,cviter,trial,num.layers,units1,units2,units3,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
4,1,10,2,29,51,36,FALSE,0.185833491073572,0.485229941489524,0.280043360078707,199.427944107655,36.4809392491976
6,1,1,1,56,8,57,TRUE,0.451632177128532,0.462742879597604,0.405543259624462,206.316646174781,36.4148734966914
6,1,2,1,63,62,52,TRUE,0.397942167367082,0.289049345133175,0.496274918594993,207.209377434219,36.4148734966914
6,1,3,1,48,59,51,TRUE,0.41163663751858,0.281985515622299,0.497137447198106,209.062181768109,36.4148734966914
6,1,4,1,62,8,46,TRUE,0.451976656710031,0.471571240824414,0.475413555750856,210.454272811047,36.4148734966914
6,1,5,1,10,55,64,TRUE,0.449019861138434,0.369159999060131,0.198951270931691,210.916710497726,36.4148734966914
6,1,6,1,62,57,56,TRUE,0.374997471339571,0.22057459680538,0.491508502387831,212.344919773908,36.4148734966914
6,1,7,1,64,61,59,TRUE,0.380686452230058,0.292393980796994,0.495063660644395,212.725364146821,36.4148734966914
6,1,8,2,55,64,9,TRUE,0.438115504305461,0.178921469833585,0.389837011048803,214.359265307281,36.4148734966914
6,1,9,1,50,46,19,TRUE,0.35398612676654,0.402441683277721,0.108641816282761,217.276850979755,36.4148734966914
6,1,10,1,44,23,57,TRUE,0.33050400603679,0.236177367070923,0.302646140303114,217.854006311329,36.4148734966914
5,1,1,1,63,8,50,TRUE,0.459758524705641,0.447325446978152,0.38650724955605,191.077601786427,38.8204318165779
5,1,2,2,9,55,57,FALSE,0.250336360578281,0.224948034883794,0.131063156389663,194.96164292803,38.8204318165779
5,1,3,2,63,43,43,FALSE,0.207901832001517,0.115076669590781,0.491330125796958,197.469834082179,38.8204318165779
5,1,4,2,11,36,63,FALSE,0.218044891902587,0.400427762743514,0.125786385609907,199.573838499619,38.8204318165779
5,1,5,1,44,23,57,TRUE,0.33050400603679,0.236177367070923,0.302646140303114,199.706133805843,38.8204318165779
5,1,6,2,50,61,58,TRUE,0.254331442737307,0.297388558397627,0.124316165911382,200.451949768513,38.8204318165779
5,1,7,1,62,8,46,TRUE,0.451976656710031,0.471571240824414,0.475413555750856,201.149615967652,38.8204318165779
5,1,8,2,12,57,52,TRUE,0.304927424382186,0.272133646946168,0.297702273263712,201.169139830691,38.8204318165779
5,1,9,1,64,9,49,TRUE,0.373613006337489,0.480455040976459,0.490993521028422,201.514006332951,38.8204318165779
5,1,10,2,58,62,41,FALSE,0.161162536934717,0.102362446088227,0.133745732693933,201.970523610006,38.8204318165779
7,1,1,1,11,53,51,TRUE,0.454943351141972,0.32433820552695,0.126406930647193,178.228288065443,38.4692277153333
7,1,2,1,48,51,19,TRUE,0.361354267288418,0.403457185264892,0.1103419001362,180.581459218575,38.4692277153333
7,1,3,1,63,9,36,TRUE,0.189208168282901,0.463892654809464,0.49058133227138,187.4474401082,38.4692277153333
7,1,4,1,52,51,20,TRUE,0.381175882886811,0.39340627670337,0.101479390742557,187.625015758534,38.4692277153333
7,1,5,1,39,52,33,TRUE,0.322262787937251,0.391723582465484,0.126742141627188,187.855888091722,38.4692277153333
7,1,6,1,62,9,36,TRUE,0.135982961638805,0.454494721298262,0.493404985718319,188.130863304446,38.4692277153333
7,1,7,1,50,46,19,TRUE,0.35398612676654,0.402441683277721,0.108641816282761,188.602163664831,38.4692277153333
7,1,8,1,62,8,46,TRUE,0.451976656710031,0.471571240824414,0.475413555750856,192.45963884272,38.4692277153333
7,1,9,1,44,23,57,TRUE,0.33050400603679,0.236177367070923,0.302646140303114,193.111543553087,38.4692277153333
7,1,10,2,35,42,34,TRUE,0.27630512797914,0.399706289038295,0.337545159333968,193.615369471476,38.4692277153333
14,1,1,2,55,64,9,TRUE,0.438115504305461,0.178921469833585,0.389837011048803,189.283395545822,37.8475053350131
14,1,2,3,56,20,27,FALSE,0.345986303032259,0.363169920939254,0.206675818937947,189.70956642064,37.8475053350131
14,1,3,2,58,62,41,FALSE,0.161162536934717,0.102362446088227,0.133745732693933,193.313812947533,37.8475053350131
14,1,4,3,9,28,64,FALSE,0.230530296389058,0.278228313866904,0.113138944792471,193.974004687689,37.8475053350131
14,1,5,2,63,43,43,FALSE,0.207901832001517,0.115076669590781,0.491330125796958,196.775979664165,37.8475053350131
