repetition,cviter,trial,num.layers,units1,units2,units3,mse.test.mean,time.in.mins
6,1,6,1,64,47,64,100.498487057509,91.3384671489398
6,1,7,1,64,8,45,100.53969614944,91.3384671489398
6,1,8,1,47,56,55,100.557652295359,91.3384671489398
6,1,9,1,64,54,8,100.559187615663,91.3384671489398
6,1,10,1,56,64,11,100.710911890385,91.3384671489398
17,1,1,1,64,56,16,100.308074986354,92.1616739193598
17,1,2,1,64,51,8,100.530111470723,92.1616739193598
17,1,3,1,64,14,8,100.658343298802,92.1616739193598
17,1,4,1,64,8,26,100.665031383598,92.1616739193598
17,1,5,1,19,58,10,100.674557448797,92.1616739193598
17,1,6,1,8,64,48,100.70835550567,92.1616739193598
17,1,7,1,56,64,11,100.859691900398,92.1616739193598
17,1,8,1,32,61,31,100.905329127898,92.1616739193598
17,1,9,1,8,64,8,101.015919057953,92.1616739193598
17,1,10,1,64,15,64,101.329655291477,92.1616739193598
15,1,1,1,8,48,64,99.8579805083092,93.3806624968847
15,1,2,1,37,48,64,99.9127599310171,93.3806624968847
15,1,3,1,64,44,64,100.005825776362,93.3806624968847
15,1,4,1,56,64,11,100.234876375158,93.3806624968847
15,1,5,1,9,64,59,100.3401665427,93.3806624968847
15,1,6,1,64,27,64,100.401780898227,93.3806624968847
15,1,7,1,36,62,37,100.496025469014,93.3806624968847
15,1,8,1,64,17,64,100.539467597201,93.3806624968847
15,1,9,1,64,49,8,100.545938705807,93.3806624968847
15,1,10,1,19,58,10,100.68572083545,93.3806624968847
16,1,1,1,43,61,35,100.003723740322,94.315103884538
16,1,2,1,64,51,8,100.013814675007,94.315103884538
16,1,3,1,64,45,64,100.024581678529,94.315103884538
16,1,4,1,56,64,11,100.120167575353,94.315103884538
16,1,5,1,19,58,10,100.229806229288,94.315103884538
16,1,6,1,47,56,55,100.281529864434,94.315103884538
16,1,7,1,64,14,8,100.303381747411,94.315103884538
16,1,8,1,17,64,55,100.442716138408,94.315103884538
16,1,9,1,64,50,42,100.577456086183,94.315103884538
16,1,10,1,64,16,64,100.672916211935,94.315103884538
19,1,1,1,8,64,20,100.746646326495,94.1210591514905
19,1,2,1,64,64,64,100.783924406183,94.1210591514905
19,1,3,1,18,64,57,100.839852495935,94.1210591514905
19,1,4,1,8,48,64,100.929401495689,94.1210591514905
19,1,5,1,8,59,62,101.18144925589,94.1210591514905
19,1,6,1,56,64,11,101.186096790242,94.1210591514905
19,1,7,1,37,63,38,101.187262923061,94.1210591514905
19,1,8,1,8,22,64,101.225348859957,94.1210591514905
19,1,9,1,64,17,64,101.287340053376,94.1210591514905
19,1,10,1,64,41,64,101.672445239911,94.1210591514905
20,1,1,1,64,57,8,100.060796945211,94.3385625521342
20,1,2,1,64,16,64,100.131628769675,94.3385625521342
20,1,3,1,64,8,8,100.181711316867,94.3385625521342
20,1,4,1,64,17,8,100.548229829856,94.3385625521342
20,1,5,1,47,56,55,100.607608627485,94.3385625521342
20,1,6,1,8,8,60,100.676335995541,94.3385625521342
20,1,7,1,56,64,11,100.771459347622,94.3385625521342
20,1,8,1,19,58,10,100.797033218482,94.3385625521342
20,1,9,1,37,61,38,101.166200575249,94.3385625521342
20,1,10,1,64,24,51,101.166466575864,94.3385625521342
14,1,1,1,64,48,8,100.053176376986,96.7138801813126
14,1,2,1,64,8,64,100.080467518426,96.7138801813126
14,1,3,1,64,16,64,100.095910574913,96.7138801813126
14,1,4,1,35,64,37,100.202220954067,96.7138801813126
14,1,5,1,56,64,11,100.22976423901,96.7138801813126
14,1,6,1,8,47,64,100.257705800931,96.7138801813126
14,1,7,1,64,43,64,100.31561033415,96.7138801813126
14,1,8,1,8,64,64,100.474065718628,96.7138801813126
14,1,9,1,19,58,10,100.885960434552,96.7138801813126
14,1,10,1,47,56,55,100.981974223992,96.7138801813126
11,1,1,1,64,48,8,100.208416154527,97.7228815833728
11,1,2,1,10,64,59,100.275433232143,97.7228815833728
11,1,3,1,56,64,11,100.442104349539,97.7228815833728
11,1,4,1,64,15,8,100.505994927841,97.7228815833728
