repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
4,1,5,16|8|19|16|9|12|18|5|11|19|6|17|20|4|16|16|10|2|10|10|18|9|2|10|17|18|6|5|4,0,44,70,TRUE,0.415733451867062,0.427244742786408,0.351146365801752,111.563469459348,262.690567382177
4,1,6,15|13|8|6|15|17|12|10|18|15|6|11|6|2|19|6|4|9|7|17|5|9|16|14|8|12|8|2|10,0,48,49,TRUE,0.378200454434975,0.349158429408756,0.245668640362176,111.572710361551,262.690567382177
4,1,7,19|14|18|9|19|5|13|6|6|10|9|2|11|14|16|9|12|20|4|15|8|6|8|3|19|5|14|20|7,0,60,37,TRUE,0.275109744431554,0.133145600560561,0.130736296968017,111.579648175839,262.690567382177
4,1,8,20|7|13|17|8|5|13|11|2|11|7|6|15|6|3|18|9|20|11|3|16|4|5|20|4|2|10|14|17,2,57,46,TRUE,0.101060089001354,0.466169480824869,0.454682431998016,111.677360615814,262.690567382177
4,1,9,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,111.737695326305,262.690567382177
4,1,10,17|17|18|11|3|14|15|14|19|3|5|15|9|17|5|12|10|10|2|2|12|15|15|2|20|11|6|17|7,0,42,40,TRUE,0.23100532964066,0.39175220805272,0.292492688607631,111.737701062125,262.690567382177
9,1,1,6|18|15|8|8|16|19|20|3|4|16|15|7|8|5|13|6|6|2|9|5|9|8|12|12|20|17|8|13,2,43,67,TRUE,0.363277736161296,0.460398456349401,0.180789934473489,109.857595670041,264.21588533322
9,1,2,13|2|9|7|12|4|20|2|20|7|11|16|17|3|12|10|18|17|2|17|5|7|10|7|6|19|2|15|4,2,72,57,TRUE,0.483381671441667,0.463672081679235,0.184449918896684,110.141854560468,264.21588533322
9,1,3,20|3|14|17|8|10|12|9|9|10|16|15|12|14|13|15|2|10|15|17|5|8|8|2|15|18|4|17|6,2,66,38,TRUE,0.439170147961057,0.320434467799108,0.151132881321246,110.525915415005,264.21588533322
9,1,4,15|20|12|14|10|19|18|8|20|12|20|20|3|16|11|13|8|13|10|2|4|4|8|15|5|16|16|10|15,2,35,69,TRUE,0.225134437232243,0.133096658809094,0.497342057044197,110.791868539756,264.21588533322
9,1,5,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,110.853452306493,264.21588533322
9,1,6,15|14|7|20|18|7|12|16|5|2|2|3|10|4|10|3|3|3|3|18|18|2|9|7|3|11|20|20|4,2,30,58,FALSE,0.168190250506935,0.297261843483688,0.101639189034985,111.139103152841,264.21588533322
9,1,7,14|20|4|6|3|4|8|6|8|10|2|17|13|3|12|13|2|12|7|8|8|13|6|4|13|15|12|13|13,2,35,55,TRUE,0.355161847571273,0.49886621397713,0.30305527487524,111.275518548397,264.21588533322
9,1,8,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,111.275998986746,264.21588533322
9,1,9,19|14|18|9|19|5|13|6|6|10|9|2|11|14|16|9|12|20|4|15|8|6|8|3|19|5|14|20|7,0,60,37,TRUE,0.275109744431554,0.133145600560561,0.130736296968017,111.476050863547,264.21588533322
9,1,10,12|5|10|12|8|2|2|16|10|11|16|17|7|13|10|3|9|6|18|7|9|17|9|17|3|9|10|6|7,2,63,66,TRUE,0.3061872481901,0.305715250742771,0.247264157430987,111.479596840827,264.21588533322
3,1,1,19|8|12|12|5|16|9|10|8|11|20|14|7|15|8|14|6|13|11|15|6|16|4|5|8|11|20|9|8,2,36,43,TRUE,0.197176023962028,0.188926948559108,0.478845143400314,106.129806478063,267.342226334413
3,1,2,19|6|5|17|5|14|13|20|5|10|6|18|15|10|12|16|18|4|18|17|9|13|17|10|5|8|15|19|16,0,55,69,TRUE,0.422054434073382,0.419648744720707,0.486124062423021,106.194396709819,267.342226334413
3,1,3,14|20|4|6|3|4|8|6|8|10|2|17|13|3|12|13|2|12|7|8|8|13|6|4|13|15|12|13|13,2,35,55,TRUE,0.355161847571273,0.49886621397713,0.30305527487524,106.338695369703,267.342226334413
3,1,4,16|9|3|18|15|17|5|17|19|18|14|17|17|2|17|19|16|17|19|19|5|4|20|10|3|9|9|11|20,2,54,32,TRUE,0.107004462507191,0.42861425946596,0.235301040090336,106.705405269534,267.342226334413
3,1,5,15|5|14|9|8|14|17|3|5|9|7|14|10|18|14|13|17|16|6|8|10|8|6|19|7|14|10|5|6,0,31,66,TRUE,0.406915524568952,0.248560213390091,0.447355633691445,106.757375763367,267.342226334413
3,1,6,14|18|16|20|8|9|17|16|16|4|19|12|14|15|8|4|15|2|20|16|10|7|4|13|15|18|4|2|5,0,51,39,TRUE,0.399702198192891,0.312792933317057,0.306243583867844,107.300767589094,267.342226334413
3,1,7,13|15|10|4|16|12|14|13|4|8|9|18|13|11|15|10|10|5|12|3|8|12|6|3|15|16|8|5|8,0,55,70,TRUE,0.26230346227401,0.214774357482222,0.330371681106044,107.318373403137,267.342226334413
3,1,8,20|7|13|17|8|5|13|11|2|11|7|6|15|6|3|18|9|20|11|3|16|4|5|20|4|2|10|14|17,2,57,46,TRUE,0.101060089001354,0.466169480824869,0.454682431998016,107.330771030545,267.342226334413
3,1,9,6|5|17|14|18|18|4|18|10|18|17|19|9|16|10|13|19|4|7|20|19|3|18|10|17|19|15|13|13,2,77,60,TRUE,0.464016985956631,0.335285360223174,0.240037268291538,107.349163119868,267.342226334413
3,1,10,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,107.433378686271,267.342226334413
15,1,1,20|3|14|17|8|10|12|9|9|10|16|15|12|14|13|15|2|10|15|17|5|8|8|2|15|18|4|17|6,2,66,38,TRUE,0.439170147961057,0.320434467799108,0.151132881321246,105.302868260093,264.614373783271
15,1,2,17|5|8|13|5|18|18|9|13|3|9|8|18|5|5|8|7|17|12|10|17|7|8|19|18|19|6|4|4,2,64,49,TRUE,0.463934351939916,0.157049138393566,0.477237549165499,106.210873810431,264.614373783271
15,1,3,19|4|8|19|8|12|3|16|2|3|13|6|14|15|7|12|6|19|18|17|19|20|4|20|20|5|9|2|12,2,65,68,TRUE,0.447273463889077,0.120976482294241,0.112150826504997,106.460799496609,264.614373783271
15,1,4,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,107.341701266353,264.614373783271
15,1,5,18|6|14|8|15|7|17|16|13|13|6|3|3|5|19|7|2|16|15|3|12|7|14|19|6|20|10|3|3,0,56,78,TRUE,0.415024177866358,0.253089911163472,0.407090928138781,107.433135927452,264.614373783271
15,1,6,18|5|14|2|8|18|19|20|17|7|16|15|14|11|7|16|8|10|3|13|12|17|8|19|9|10|7|9|14,2,29,74,TRUE,0.413411189156798,0.419937494057043,0.47548600371671,107.584374144814,264.614373783271
15,1,7,8|16|6|15|18|8|7|12|14|4|8|14|5|3|10|11|3|9|3|7|17|5|15|6|8|9|16|4|18,2,62,41,TRUE,0.127921018065212,0.194011153165613,0.444442537327996,107.624713825593,264.614373783271
15,1,8,20|7|13|17|8|5|13|11|2|11|7|6|15|6|3|18|9|20|11|3|16|4|5|20|4|2|10|14|17,2,57,46,TRUE,0.101060089001354,0.466169480824869,0.454682431998016,107.721294870082,264.614373783271
15,1,9,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,107.940417422176,264.614373783271
15,1,10,16|9|3|18|15|17|5|17|19|18|14|17|17|2|17|19|16|17|19|19|5|4|20|10|3|9|9|11|20,2,54,32,TRUE,0.107004462507191,0.42861425946596,0.235301040090336,107.958706323084,264.614373783271
20,1,1,17|17|18|11|3|14|15|14|19|3|5|15|9|17|5|12|10|10|2|2|12|15|15|2|20|11|6|17|7,0,42,40,TRUE,0.23100532964066,0.39175220805272,0.292492688607631,105.610906644095,262.741445016861
20,1,2,6|18|3|8|4|20|19|18|4|6|19|13|4|16|15|6|7|15|5|20|9|11|15|7|12|14|11|8|17,2,34,73,TRUE,0.487064109600356,0.324857503726121,0.359297268315762,106.032762351723,262.741445016861
20,1,3,13|2|9|7|12|4|20|2|20|7|11|16|17|3|12|10|18|17|2|17|5|7|10|7|6|19|2|15|4,2,72,57,TRUE,0.483381671441667,0.463672081679235,0.184449918896684,106.051071886339,262.741445016861
