repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
19,4,3,20|12|20|16|15|12|8|17|9|12|4|9|17|4|17|8|7|9|18,0,34,76,TRUE,0.40962219069493,0.120468259818701,0.432589660483203,172.890366997494,86.4967017014821
19,4,4,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,176.256956507653,86.4967017014821
19,4,5,14|11|20|8|15|16|3|18|15|14|18|17|20|5|4|5|11|8|12,2,75,70,TRUE,0.20191989334788,0.121269799772231,0.313773552460048,176.772014210717,86.4967017014821
19,4,6,18|2|2|12|12|5|9|14|8|7|2|13|9|19|2|7|19|9|14,2,72,68,FALSE,0.390954280283768,0.442959702123279,0.3428676788328,177.966909133631,86.4967017014821
19,4,7,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,178.315469382169,86.4967017014821
19,4,8,14|4|2|20|8|5|9|14|17|2|13|4|3|20|13|15|3|8|2,0,19,23,TRUE,0.439526298817677,0.162404173360958,0.470380096110659,178.52859812726,86.4967017014821
19,4,9,15|12|4|14|12|3|20|4|11|13|11|6|16|11|12|5|15|19|19,2,61,65,FALSE,0.395988161336237,0.377955750000771,0.370249084317878,178.710666599166,86.4967017014821
19,4,10,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,179.679075771223,86.4967017014821
8,4,1,20|13|20|9|8|3|6|18|6|12|10|12|19|8|5|3|15|10|8,0,75,73,TRUE,0.260833200537842,0.25356585725584,0.306555580053355,166.468193760144,90.3870734492938
8,4,2,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,173.877093870646,90.3870734492938
8,4,3,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,175.904155016548,90.3870734492938
