repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins
4,2,0.819464893014546,0.883655034419742,158.298418809367,9.13861507623015,0.816373379261492,0.898718529282536,128.743682572464,7.8513845915568,0.0822323679924011
4,3,0.823503852089307,0.886679322240374,149.167471703941,8.76686732221278,0.762221396257294,0.82215990990525,230.239522650299,10.6615442464607,0.0732711672782898
4,4,0.812832945789125,0.878721455392438,161.308091991908,9.23038487407153,0.871897318633493,0.928048245678263,105.016688989689,7.21876948156436,0.0825292348861694
4,5,0.811275156458123,0.876182838053472,165.129325954039,9.25081516027452,0.854025038816035,0.906612057461311,106.720547768021,8.12712244056775,0.0717786987622579
4,6,0.819364228915601,0.883035373823052,151.578467543819,8.93592308447151,0.775988338490448,0.851319203937182,226.056971569331,10.5270735930938,0.0806698362032572
4,7,0.819743050455391,0.884138419746655,150.239087776835,8.80019838993729,0.799831020643276,0.853085157448931,222.388566328498,10.8755607659775,0.0774816830952962
4,8,0.817036476819474,0.882291692430851,152.497866609747,8.80840337806717,0.809829864415925,0.860454772500245,209.816402757797,11.0298979619989,0.0709758679072062
4,9,0.814961104774729,0.880881126806949,160.171945528837,9.10012661194372,0.833224428448055,0.890710339000348,134.74243268587,8.84084864737553,0.0824774662653605
4,10,0.818908438695477,0.884415885982656,155.770057386734,8.94182341564228,0.797803998657787,0.844057514537239,174.248080603515,9.84232879532642,0.0776827851931254
5,1,0.817599913255718,0.883009236116753,154.065715610575,8.96630548850439,0.817167081026208,0.866100203927634,181.819289766904,9.48191775858794,0.0776091655095418
5,2,0.814864298953033,0.878471226253912,158.37642661588,9.00477348011509,0.818379957389231,0.89709087941552,160.273854829084,10.0699218189271,0.0910412828127543
5,3,0.822701998883626,0.885766532303009,154.544505007591,9.00666075253143,0.731985451942927,0.837307275067071,193.227523495228,9.49033445865749,0.0773491978645325
5,4,0.82074664624279,0.884565100138323,156.15833712128,9.01923858488671,0.790702079071339,0.865313283591714,154.368092800528,8.84195241477781,0.117115251223246
5,5,0.813301855806394,0.878857867457306,161.144682273037,9.08611215176734,0.831648303295539,0.87440531207542,142.30713006785,8.48189935067335,0.0742441852887472
5,6,0.81500968746,0.879657900935941,155.501255061088,8.85448735846973,0.817433859661987,0.877117238338732,184.679516803622,10.635824380703,0.0783577680587769
5,7,0.820349546752991,0.885862565316136,148.438259526735,8.83707896655818,0.799674150166302,0.864352767881521,225.601964483641,10.5672032837189,0.0777681827545166
5,8,0.814192681502173,0.88035481234108,161.160735692099,9.23161234425326,0.830886925862545,0.899588325533245,123.267666683964,7.10628699966901,0.0792718847592672
5,9,0.821865966721597,0.885210762267031,149.700828050796,8.79149830871872,0.743199514273103,0.81348415512331,248.713877929811,11.6328528497131,0.0769213994344076
5,10,0.821214213165174,0.885202486400141,160.373086416734,9.12532729868746,0.788980866123704,0.878532923708702,116.8745589896,8.5581025601666,0.0841338992118836
6,1,0.816510755602269,0.881048120965641,159.074681680122,9.10514906444153,0.806932695809908,0.877088757895105,153.736471148263,8.663144556262,0.0753591179847717
6,2,0.814967505410486,0.880592496183367,156.635102155665,8.95384496712586,0.839940541839364,0.882050555946553,162.337596346814,9.47223139818408,0.0838559826215108
6,3,0.821545607786717,0.885214962473069,157.38162682853,9.03105863216067,0.789858073084227,0.879266131094796,139.039252927194,9.56512363991961,0.0844464341799418
6,4,0.827246856592186,0.88987774149923,147.303075554396,8.61132325768887,0.717157516169441,0.798261793602818,251.065803078889,12.1690891944593,0.0698646823565165
6,5,0.814069965848048,0.877003741475293,153.037429156287,8.88593496165037,0.808035724816297,0.846647212732671,243.586727275867,10.8878091758686,0.0784650325775147
6,6,0.810287673951504,0.874301207788829,158.13135556852,8.9708595326847,0.850227891427285,0.884010900322869,190.415867873573,9.55186202700516,0.0940086642901103
6,7,0.818238561569517,0.883294110622261,154.81731245122,9.0941365856083,0.786867030490646,0.857179498208785,187.464934143373,8.55585436011761,0.0729610164960225
6,8,0.815782128200744,0.880366310274277,162.297339887803,9.27141550978682,0.805330884542318,0.87557135793706,128.491832774466,8.12848312263485,0.0840693354606628
6,9,0.818885804432404,0.88291346448671,161.186361048169,9.13146462678971,0.790437494702948,0.874580481101738,134.746015677269,9.37286524484195,0.0738942702611287
6,10,0.814984541045595,0.879573818469013,158.413320900446,9.04868883641185,0.824599939417215,0.892722947171061,151.62300611611,8.71369823934677,0.0660480856895447
